,region,value1,value
1,1001,16502,5
2,1003,7463,44
3,1005,10702,55
4,1007,7656,54
5,1009,2683,47
6,1011,18278,29
7,1013,12771,21
8,1015,5652,44
9,1017,17758,20
10,1019,2469,3
11,1021,10855,33
12,1023,1051,26
13,1025,13149,61
14,1027,10652,8
15,1029,5798,62
16,1031,4155,30
17,1033,8183,16
18,1035,17307,28
19,1037,11078,35
20,1039,8754,1
21,1041,19403,13
22,1043,4934,43
23,1045,19607,36
24,1047,12283,49
25,1049,2150,26
26,1051,12896,35
27,1053,2538,50
28,1055,6034,52
29,1057,17576,22
30,1059,1921,55
31,1061,12037,6
32,1063,673,4
33,1065,2329,11
34,1067,14604,24
35,1069,10143,26
36,1071,18577,0
37,1073,6265,23
38,1075,3125,50
39,1077,17458,59
40,1079,13672,13
41,1081,15032,41
42,1083,17407,48
43,1085,13547,61
44,1087,711,1
45,1089,11209,35
46,1091,11641,3
47,1093,19083,4
48,1095,11094,31
49,1097,13189,9
50,1099,16557,36
51,1101,11696,17
52,1103,3943,15
53,1105,11561,15
54,1107,17346,21
55,1109,16686,59
56,1111,17916,1
57,1113,4164,46
58,1115,10461,55
59,1117,19232,63
60,1119,369,22
61,1121,14823,16
62,1123,5513,29
63,1125,18562,41
64,1127,3318,52
65,1129,16961,7
66,1131,2818,4
67,1133,19346,63
68,2013,10330,60
69,2016,11319,58
70,2020,8406,48
71,2050,16914,35
72,2060,5434,43
73,2068,15082,31
74,2070,17416,18
75,2090,12563,48
76,2100,2235,7
77,2105,15379,7
78,2110,13463,63
79,2122,5232,25
80,2130,11124,37
81,2150,6614,31
82,2164,2159,2
83,2170,14952,50
84,2180,1570,57
85,2185,2972,12
86,2188,18993,16
87,2195,9253,38
88,2198,18188,36
89,2220,13743,27
90,2230,5709,34
91,2240,2592,44
92,2261,7445,46
93,2270,7904,24
94,2275,16311,28
95,2282,7060,55
96,2290,16025,63
97,4001,13141,41
98,4003,4542,55
99,4005,6927,44
100,4007,1289,55
101,4009,14300,3
102,4011,9378,51
103,4012,11441,55
104,4013,3119,1
105,4015,1280,52
106,4017,877,45
107,4019,11355,51
108,4021,3449,25
109,4023,6832,38
110,4025,11577,35
111,4027,4946,18
112,5001,11745,49
113,5003,11088,63
114,5005,14321,57
115,5007,18767,28
116,5009,4057,2
117,5011,13849,28
118,5013,11037,7
119,5015,8280,34
120,5017,11143,9
121,5019,4203,56
122,5021,18109,43
123,5023,4720,9
124,5025,4403,63
125,5027,4073,30
126,5029,11670,3
127,5031,17104,10
128,5033,6269,12
129,5035,8390,39
130,5037,15082,38
131,5039,9843,16
132,5041,6931,35
133,5043,16730,3
134,5045,17982,46
135,5047,1729,18
136,5049,9534,34
137,5051,6765,9
138,5053,15405,1
