city,state,country,lat,long,cnt,statename,year,,,code,statetemp
Chicago,IL,USA,41.979595,-87.90446417,25129,Illinois,2016,,,AL,Alabama
Atlanta,GA,USA,33.64044444,-84.42694444,21925,Georgia,2016,,,AK,Alaska
Dallas-Fort Worth,TX,USA,32.89595056,-97.0372,20662,Texas,2016,,,AZ,Arizona
Phoenix,AZ,USA,33.43416667,-112.0080556,17290,Arizona,2016,,,AR,Arkansas
Denver,CO,USA,39.85840806,-104.6670019,13781,Colorado,2016,,,CA, California
Houston,TX,USA,29.98047222,-95.33972222,13223,Texas,2016,,,CO,Colorado
San Francisco,CA,USA,37.61900194,-122.3748433,12016, California,2016,,,CT,Connecticut
Los Angeles,CA,USA,33.94253611,-118.4080744,11797, California,2016,,,DE,Delaware
Orlando,FL,USA,28.42888889,-81.31602778,10536,Florida,2016,,,FL,Florida
Charlotte,NC,USA,35.21401111,-80.94312583,10490,North Carolina,2016,,,GA,Georgia
Salt Lake City,UT,USA,40.78838778,-111.9777731,9898,Utah,2016,,,HI,Hawaii
Tampa,FL,USA,27.97547222,-82.53325,9182,Florida,2016,,,ID,Idaho
Newark,NJ,USA,40.69249722,-74.16866056,8678,New Jersey,2016,,,IL,Illinois
Las Vegas,NV,USA,36.08036111,-115.1523333,8523,Nevada,2016,,,IN,Indiana
Philadelphia,PA,USA,39.87195278,-75.24114083,7965,Pennsylvania,2016,,,IA,Iowa
Minneapolis,MN,USA,44.88054694,-93.2169225,7690,Minnesota,2016,,,KS,Kansas
Seattle,WA,USA,47.44898194,-122.3093131,7541,Washington,2016,,,KY,Kentucky
New York,NY,USA,40.77724306,-73.87260917,7392,New York,2016,,,LA,Louisiana
Chicago,IL,USA,41.7859825,-87.75242444,6979,Illinois,2016,,,ME,Maine
Chantilly,VA,USA,38.94453194,-77.45580972,6779,Virginia,2016,,,MD,Maryland
San Diego,CA,USA,32.73355611,-117.1896567,6233, California,2016,,,MA,Massachusetts
St Louis,MO,USA,38.74768694,-90.35998972,6204,Missouri,2016,,,MI,Michigan
Detroit,MI,USA,42.21205889,-83.34883583,6044,Michigan,2016,,,MN,Minnesota
New York,NY,USA,40.63975111,-73.77892556,5945,New York,2016,,,MS,Mississippi
Miami,FL,USA,25.79325,-80.29055556,5907,Florida,2016,,,MO,Missouri
Boston,MA,USA,42.3643475,-71.00517917,5627,Massachusetts,2016,,,MT,Montana
Sacramento,CA,USA,38.69542167,-121.5907669,4943, California,2016,,,NE,Nebraska
Baltimore,MD,USA,39.17540167,-76.66819833,4749,Maryland,2016,,,NV,Nevada
Santa Ana,CA,USA,33.67565861,-117.8682225,4616, California,2016,,,NH,New Hampshire
New Orleans,LA,USA,29.99338889,-90.25802778,4432,Louisiana,2016,,,NJ,New Jersey
San Jose,CA,USA,37.36186194,-121.9290089,4367, California,2016,,,NM,New Mexico
Arlington,VA,USA,38.85208333,-77.03772222,4332,Virginia,2016,,,NY,New York
Portland,OR,USA,45.58872222,-122.5975,4071,Oregon,2016,,,NC,North Carolina
Ft. Myers,FL,USA,26.53616667,-81.75516667,4057,Florida,2016,,,ND,North Dakota
West Palm Beach,FL,USA,26.68316194,-80.09559417,3972,Florida,2016,,,OH,Ohio
Raleigh,NC,USA,35.87763889,-78.78747222,3896,North Carolina,2016,,,OK,Oklahoma
Houston,TX,USA,29.64541861,-95.27888889,3824,Texas,2016,,,OR,Oregon
San Antonio,TX,USA,29.53369444,-98.46977778,3654,Texas,2016,,,PA,Pennsylvania
Ft. Lauderdale,FL,USA,26.07258333,-80.15275,3616,Florida,2016,,,RI,Rhode Island
Kansas City,MO,USA,39.29760528,-94.71390556,3403,Missouri,2016,,,SC,South Carolina
Oakland,CA,USA,37.72129083,-122.2207167,3386, California,2016,,,SD,South Dakota
Pittsburgh,PA,USA,40.49146583,-80.23287083,3180,Pennsylvania,2016,,,TN,Tennessee
Memphis,TN,USA,35.04241667,-89.97666667,3058,Tennessee,2016,,,TX,Texas
Milwaukee,WI,USA,42.94722222,-87.89658333,3030,Wisconsin,2016,,,UT,Utah
Cleveland,OH,USA,41.41089417,-81.84939667,3015,Ohio,2016,,,VT,Vermont
Jacksonville,FL,USA,30.49405556,-81.68786111,3005,Florida,2016,,,VA,Virginia
Tucson,AZ,USA,32.11608333,-110.9410278,2786,Arizona,2016,,,WA,Washington
Indianapolis,IN,USA,39.71732917,-86.29438417,2136,Indiana,2016,,,WV,West Virginia
Reno,NV,USA,39.49857611,-119.7680647,2104,Nevada,2016,,,WI,Wisconsin
Oklahoma City,OK,USA,35.39308833,-97.60073389,2104,Oklahoma,2016,,,WY,Wyoming
Providence,RI,USA,41.72399917,-71.42822111,2044,Rhode Island,2016,,,,
Tulsa,OK,USA,36.19837222,-95.88824167,2003,Oklahoma,2016,,,,
Covington,KY,USA,39.04614278,-84.6621725,1986,Kentucky,2016,,,,
Columbus,OH,USA,39.99798528,-82.89188278,1752,Ohio,2016,,,,
Louisville,KY,USA,38.17438889,-85.736,1716,Kentucky,2016,,,,
Ontario,CA,USA,34.056,-117.6011944,1622, California,2016,,,,
Little Rock,AR,USA,34.72939611,-92.22424556,1620,Arkansas,2016,,,,
Dallas,TX,USA,32.84711389,-96.85177222,1502,Texas,2016,,,,
Omaha,NE,USA,41.30251861,-95.89417306,1474,Nebraska,2016,,,,
Norfolk,VA,USA,36.89461111,-76.20122222,1439,Virginia,2016,,,,
Dayton,OH,USA,39.90237583,-84.219375,1337,Ohio,2016,,,,
Rochester,NY,USA,43.11886611,-77.67238389,1327,New York,2016,,,,
Fayetteville/Springdale/Rogers,AR,USA,36.28186944,-94.30681111,1310,Arkansas,2016,,,,
Nashville,TN,USA,36.12447667,-86.67818222,1299,Tennessee,2016,,,,
Albuquerque,NM,USA,35.04022222,-106.6091944,1258,New Mexico,2016,,,,
Jackson,MS,USA,32.31116667,-90.07588889,1224,Mississippi,2016,,,,
El Paso,TX,USA,31.80666667,-106.3778056,1206,Texas,2016,,,,
Richmond,VA,USA,37.50516667,-77.31966667,1199,Virginia,2016,,,,
Windsor Locks,CT,USA,41.93887417,-72.68322833,1162,Connecticut,2016,,,,
Midland,TX,USA,31.94252778,-102.2019139,1103,Texas,2016,,,,
Baton Rouge,LA,USA,30.53316083,-91.14963444,1095,Louisiana,2016,,,,
Knoxville,TN,USA,35.81248722,-83.99285583,1052,Tennessee,2016,,,,
Colorado Springs,CO,USA,38.80580556,-104.70025,1040,Colorado,2016,,,,
Pensacola,FL,USA,30.47330556,-87.18744444,1035,Florida,2016,,,,
Syracuse,NY,USA,43.11118694,-76.10631056,1006,New York,2016,,,,
Birmingham,AL,USA,33.56294306,-86.75354972,956,Alabama,2016,,,,
Manchester,NH,USA,42.93451639,-71.43705583,953,New Hampshire,2016,,,,
Palm Springs,CA,USA,33.82921556,-116.5062531,949, California,2016,,,,
Sarasota,FL,USA,27.39533333,-82.55411111,932,Florida,2016,,,,
Corpus Christi,TX,USA,27.77036083,-97.50121528,926,Texas,2016,,,,
Huntsville,AL,USA,34.6404475,-86.77310944,880,Alabama,2016,,,,
Columbia,SC,USA,33.93884,-81.11953944,840,South Carolina,2016,,,,
Lafayette,LA,USA,30.20527972,-91.987655,818,Louisiana,2016,,,,
Santa Barbara,CA,USA,34.42621194,-119.8403733,800, California,2016,,,,
Spokane,WA,USA,47.61985556,-117.5338425,785,Washington,2016,,,,
Mobile,AL,USA,30.69141667,-88.24283333,768,Alabama,2016,,,,
Wichita,KS,USA,37.64995889,-97.43304583,747,Kansas,2016,,,,
Buffalo,NY,USA,42.94052472,-78.73216667,711,New York,2016,,,,
Des Moines,IA,USA,41.53493306,-93.66068222,708,Iowa,2016,,,,
Harrisburg,PA,USA,40.19349528,-76.76340361,702,Pennsylvania,2016,,,,
Portland,ME,USA,43.64616667,-70.30875,686,Maine,2016,,,,
Montgomery,AL,USA,32.30064417,-86.39397611,686,Alabama,2016,,,,
Newport News,VA,USA,37.13189556,-76.4929875,675,Virginia,2016,,,,
White Plains,NY,USA,41.06695778,-73.70757444,664,New York,2016,,,,
Monterey,CA,USA,36.5869825,-121.8429478,658, California,2016,,,,
Grand Rapids,MI,USA,42.88081972,-85.52276778,656,Michigan,2016,,,,
Beaches,FL,USA,30.448674,-84.550781,653,Florida,2016,,,,
Yuma,AZ,USA,32.65658333,-114.6059722,627,Arizona,2016,,,,
Aspen,CO,USA,39.22316,-106.868845,611,Colorado,2016,,,,
Tallahassee,FL,USA,30.39652778,-84.35033333,608,Florida,2016,,,,
Gulfport-Biloxi,MS,USA,30.40728028,-89.07009278,582,Mississippi,2016,,,,
Rapid City,SD,USA,44.04532139,-103.0573708,572,South Dakota,2016,,,,
Long Beach,CA,USA,33.81772222,-118.1516111,562, California,2016,,,,
Wilmington,NC,USA,34.27061111,-77.90255556,553,North Carolina,2016,,,,
Lexington,KY,USA,38.03697222,-84.60538889,540,Kentucky,2016,,,,
Madison,WI,USA,43.13985778,-89.33751361,538,Wisconsin,2016,,,,
Eugene,OR,USA,44.12326,-123.2186856,529,Oregon,2016,,,,
Savannah,GA,USA,32.12758333,-81.20213889,524,Georgia,2016,,,,
Lubbock,TX,USA,33.66363889,-101.8227778,518,Texas,2016,,,,
Cedar Rapids,IA,USA,41.88458833,-91.71087222,516,Iowa,2016,,,,
Greer,SC,USA,34.89566722,-82.21885833,479,South Carolina,2016,,,,
Greensboro,NC,USA,36.09774694,-79.9372975,472,North Carolina,2016,,,,
Islip,NY,USA,40.7952425,-73.10021194,460,New York,2016,,,,
Moline,IL,USA,41.44852639,-90.50753917,451,Illinois,2016,,,,
Asheville,NC,USA,35.43619444,-82.54180556,448,North Carolina,2016,,,,
Akron,OH,USA,40.91631194,-81.44246556,445,Ohio,2016,,,,
Bloomington,IL,USA,40.47798556,-88.91595278,426,Illinois,2016,,,,
Harlingen,TX,USA,26.22850611,-97.65439389,414,Texas,2016,,,,
Valparaiso,FL,USA,30.48325,-86.5254,410,Florida,2016,,,,
Shreveport,LA,USA,32.4466275,-93.82559833,410,Louisiana,2016,,,,
Fargo,ND,USA,46.91934889,-96.81498889,409,North Dakota,2016,,,,
Hayden,CO,USA,40.48118028,-107.2176597,408,Colorado,2016,,,,
Medford,OR,USA,42.37422778,-122.8734978,404,Oregon,2016,,,,
Peoria,IL,USA,40.66424333,-89.69330556,404,Illinois,2016,,,,
Laredo,TX,USA,27.54373861,-99.46154361,396,Texas,2016,,,,
