State,year,Categorie,returns,Taxcategory,taxreturns,ReturnsCategory,overallreturns,AmountCategory,Amount
AL,2010,Energy,47557,Direct tax,93925,Total Returns filed,187849,Total Dollar Amount,8636234.48
AL,2010,Financials,19664,Indirect tax,93924,Filed by WK Product,54477,Dollar Amount by product ,1440252.24
AL,2010,Health Care,15289,,,,,,
AL,2010,Industrials,32766,,,,,,
AL,2010,Information Technology,21504,,,,,,
AL,2010,Real Estate,1636,,,,,,
AL,2010,Others,49433,,,,,,
AL,2011,Energy,38238,Direct tax,75562,Total Returns filed,151124,Total Dollar Amount,8636234.48
AL,2011,Financials,28306,Indirect tax,75562,Filed by WK Product,34759,Dollar Amount by product ,1440252.24
AL,2011,Health Care,17725,,,,,,
AL,2011,Industrials,30944,,,,,,
AL,2011,Information Technology,12212,,,,,,
AL,2011,Real Estate,12055,,,,,,
AL,2011,Others,11644,,,,,,
AL,2012,Energy,1916,Direct tax,79312,Total Returns filed,152523,Total Dollar Amount,8636234.48
AL,2012,Financials,10065,Indirect tax,73211,Filed by WK Product,24404,Dollar Amount by product ,1440252.24
AL,2012,Health Care,47092,,,,,,
AL,2012,Industrials,16700,,,,,,
AL,2012,Information Technology,34019,,,,,,
AL,2012,Real Estate,19480,,,,,,
AL,2012,Others,23251,,,,,,
AL,2013,Energy,40195,Direct tax,104148,Total Returns filed,221591,Total Dollar Amount,8636234.48
AL,2013,Financials,32908,Indirect tax,117443,Filed by WK Product,95285,Dollar Amount by product ,1440252.24
AL,2013,Health Care,40208,,,,,,
AL,2013,Industrials,21103,,,,,,
AL,2013,Information Technology,9555,,,,,,
AL,2013,Real Estate,41929,,,,,,
AL,2013,Others,35693,,,,,,
AL,2014,Energy,33702,Direct tax,127914,Total Returns filed,250810,Total Dollar Amount,8636234.48
AL,2014,Financials,40911,Indirect tax,122896,Filed by WK Product,90292,Dollar Amount by product ,1440252.24
AL,2014,Health Care,45883,,,,,,
AL,2014,Industrials,38005,,,,,,
AL,2014,Information Technology,25376,,,,,,
AL,2014,Real Estate,32646,,,,,,
AL,2014,Others,34287,,,,,,
AL,2015,Energy,27553,Direct tax,117363,Total Returns filed,202350,Total Dollar Amount,8636234.48
AL,2015,Financials,44212,Indirect tax,84987,Filed by WK Product,36423,Dollar Amount by product ,1440252.24
AL,2015,Health Care,22272,,,,,,
AL,2015,Industrials,7985,,,,,,
AL,2015,Information Technology,40177,,,,,,
AL,2015,Real Estate,32746,,,,,,
AL,2015,Others,27405,,,,,,
AL,2016,Energy,18941,Direct tax,103480,Total Returns filed,191628,Total Dollar Amount,8636234.48
AL,2016,Financials,46076,Indirect tax,88148,Filed by WK Product,63238,Dollar Amount by product ,1440252.24
AL,2016,Health Care,43972,,,,,,
AL,2016,Industrials,12868,,,,,,
AL,2016,Information Technology,20150,,,,,,
AL,2016,Real Estate,14453,,,,,,
AL,2016,Others,35168,,,,,,
